Geographic area name,Year,"Total revenue ($1,000)","Revenue - From federal sources ($1,000)","Revenue - From state sources ($1,000)","Revenue - From local sources ($1,000)","Total ependiture ($1,000)","Ependiture - Current spending ($1,000)","Ependiture - Capital outlay ($1,000)","Ependiture - Other ($1,000)","Debt outstanding at end of fiscal year ($1,000)","Cash and securities ($1,000)"
Rhode Island,2014,2289429,186551,867512,1235366,2231807,2152928,37897,40982,980418,14863
Rhode Island,2015,2343730,184718,908963,1250049,2300550,2204789,50889,44872,950934,16829
Rhode Island,2016,2377283,175379,940989,1260915,2329343,2242317,45441,41585,903268,17967
Delaware,2016,2000430,134412,1172219,693799,1970124,1845143,104579,20402,625544,51970
Tennessee,2015,9433434,1123413,4277381,4032640,9545980,8763459,553396,229125,5828273,66968
Vermont,2014,1672580,102434,1495453,74693,1636281,1568241,56780,11260,286087,67329
Tennessee,2016,9558955,1095415,4395757,4067783,9665661,8886616,553997,225048,5812779,89983
Connecticut,2014,10516316,420593,4141590,5954133,9932659,9361449,447290,123920,2777706,96735
Vermont,2015,1728446,105333,1546600,76513,1681292,1612052,58856,10384,275342,98500
Vermont,2016,1789559,111891,1614518,63150,1705559,1652676,42911,9972,257946,102255
Tennessee,2014,9215027,1095377,4315952,3803698,9418223,8638389,549104,230730,5850033,102304
Connecticut,2015,10857282,444073,4353546,6059663,10255593,9603117,530491,121985,2518855,103565
Delaware,2015,1976630,137544,1142333,696753,1902870,1779087,103129,20654,665473,118766
Delaware,2014,1904776,133055,1137764,633957,1930195,1736678,171618,21899,543557,133356
Connecticut,2016,11170433,468595,4411204,6290634,10529735,9798789,620905,110041,2481867,134484
Maine,2014,2609930,182961,1032280,1394689,2474551,2366014,66571,41966,810176,196268
Maine,2015,2670356,183883,1060925,1425548,2526590,2426820,55686,44084,767895,218335
New Hampshire,2014,2943450,161989,1003995,1777466,2800092,2671124,87603,41365,788605,228296
Massachusetts,2014,16474364,791029,6587492,9095843,16133044,14864764,1028761,239519,4712532,239172
New Hampshire,2016,3050303,169166,1004753,1876384,2958069,2778905,137180,41984,888344,257190
New Hampshire,2015,2992258,164905,1000063,1827290,2877774,2711114,125475,41185,803386,263577
Massachusetts,2015,16845416,778939,6808436,9258041,16569162,15315796,1034539,218827,5228836,267913
Massachusetts,2016,17339360,765043,6770086,9804231,16620373,15466496,945525,208352,5338715,285374
Maine,2016,2768776,185803,1074641,1508332,2631161,2491632,95951,43578,905703,295786
Wyoming,2014,1771027,112709,965213,693105,1762762,1472408,287977,2377,81307,537177
Wyoming,2015,1960772,120290,1116917,723565,1926445,1513919,409425,3101,75365,591566
North Dakota,2015,1596345,158373,932772,505200,1748970,1420265,303053,25652,571019,595574
Wyoming,2016,2041958,123012,1175899,743047,2017673,1560764,454302,2607,62810,608961
West Virginia,2015,3465194,362959,1979466,1122769,3464205,3215683,232738,15784,383175,618344
West Virginia,2014,3502513,351957,2033948,1116608,3496901,3194265,286099,16537,405605,619637
North Dakota,2014,1530158,155894,901032,473232,1543493,1281260,239992,22241,463455,625408
North Dakota,2016,1749290,155453,985365,608472,1904151,1460308,412047,31796,734364,627008
West Virginia,2016,3377707,358068,1863062,1156577,3364357,3167977,181392,14988,345800,629267
Idaho,2014,2084312,232593,1319582,532137,2012852,1868338,91323,53191,1389273,657869
South Dakota,2016,1452424,196644,438629,817151,1473360,1248905,192504,31951,926822,797761
Idaho,2015,2167326,232449,1381205,553672,2029520,1902503,75680,51337,1392722,801543
Idaho,2016,2265813,240322,1454830,570661,2100980,1971800,74932,54248,1360766,806066
South Dakota,2014,1342877,186216,413544,743117,1352648,1177643,146035,28970,856854,834751
Montana,2014,1712493,201528,822788,688177,1735317,1597093,121753,16471,590371,835647
