Geographic identifier code,Id2,Geographic area name,Year,Tax Type,Meaning of Tax Type,"Amount ($1,000)"
0400000US01,1,Alabama,2015,1121,Total Taxes,9755439
0400000US01,1,Alabama,2015,11211,Property Taxes,336825
0400000US01,1,Alabama,2015,11212,Sales and Gross Receipts Taxes,4936049
0400000US01,1,Alabama,2015,112123,License Taxes,493883
0400000US01,1,Alabama,2015,112124,Income Taxes,3870173
0400000US01,1,Alabama,2015,112125,Other Taxes,118509
0400000US02,2,Alaska,2015,1121,Total Taxes,1363350
0400000US02,2,Alaska,2015,11211,Property Taxes,127821
0400000US02,2,Alaska,2015,11212,Sales and Gross Receipts Taxes,255971
0400000US02,2,Alaska,2015,112123,License Taxes,115886
0400000US02,2,Alaska,2015,112124,Income Taxes,227852
0400000US02,2,Alaska,2015,112125,Other Taxes,635820
0400000US04,4,Arizona,2015,1121,Total Taxes,13721262
0400000US04,4,Arizona,2015,11211,Property Taxes,882643
0400000US04,4,Arizona,2015,11212,Sales and Gross Receipts Taxes,7885555
0400000US04,4,Arizona,2015,112123,License Taxes,458737
0400000US04,4,Arizona,2015,112124,Income Taxes,4451843
0400000US04,4,Arizona,2015,112125,Other Taxes,42484
0400000US05,5,Arkansas,2015,1121,Total Taxes,9168570
0400000US05,5,Arkansas,2015,11211,Property Taxes,1066789
0400000US05,5,Arkansas,2015,11212,Sales and Gross Receipts Taxes,4410340
0400000US05,5,Arkansas,2015,112123,License Taxes,384306
0400000US05,5,Arkansas,2015,112124,Income Taxes,3140706
0400000US05,5,Arkansas,2015,112125,Other Taxes,166429
0400000US06,6,California,2015,1121,Total Taxes,151234534
0400000US06,6,California,2015,11211,Property Taxes,2315507
0400000US06,6,California,2015,11212,Sales and Gross Receipts Taxes,52412359
0400000US06,6,California,2015,112123,License Taxes,9420863
0400000US06,6,California,2015,112124,Income Taxes,86936733
0400000US06,6,California,2015,112125,Other Taxes,149072
0400000US08,8,Colorado,2015,1121,Total Taxes,12747749
0400000US08,8,Colorado,2015,11211,Property Taxes,
0400000US08,8,Colorado,2015,11212,Sales and Gross Receipts Taxes,4744644
0400000US08,8,Colorado,2015,112123,License Taxes,680739
0400000US08,8,Colorado,2015,112124,Income Taxes,7029683
0400000US08,8,Colorado,2015,112125,Other Taxes,292683
0400000US09,9,Connecticut,2015,1121,Total Taxes,16184490
0400000US09,9,Connecticut,2015,11211,Property Taxes,
0400000US09,9,Connecticut,2015,11212,Sales and Gross Receipts Taxes,6554350
0400000US09,9,Connecticut,2015,112123,License Taxes,452687
0400000US09,9,Connecticut,2015,112124,Income Taxes,8832085
0400000US09,9,Connecticut,2015,112125,Other Taxes,345368
0400000US10,10,Delaware,2015,1121,Total Taxes,3513916
0400000US10,10,Delaware,2015,11211,Property Taxes,
0400000US10,10,Delaware,2015,11212,Sales and Gross Receipts Taxes,498557
0400000US10,10,Delaware,2015,112123,License Taxes,1389894
0400000US10,10,Delaware,2015,112124,Income Taxes,1540994
0400000US10,10,Delaware,2015,112125,Other Taxes,84471
0400000US11,11,District of Columbia,2015,1121,Total Taxes,7109329
0400000US11,11,District of Columbia,2015,11211,Property Taxes,2251725
0400000US11,11,District of Columbia,2015,11212,Sales and Gross Receipts Taxes,1751874
0400000US11,11,District of Columbia,2015,112123,License Taxes,179158
0400000US11,11,District of Columbia,2015,112124,Income Taxes,2316727
